id	url	source	notes
1	https://www.adzuna.nl/details/5777077892?utm_medium=api&utm_source=8142930b	adzuna	tier2 | .Net Senior Full Stack Developer @ Jobgether
2	https://nl.indeed.com/viewjob?jk=4a29fc167d0918dc	jobspy	tier2 | IT Platform Engineer Innovation @ ABN AMRO
3	https://www.linkedin.com/jobs/view/4433856814	jobspy	tier2 | Senior Java Developer @ ABN AMRO Bank N.V.
4	https://www.linkedin.com/jobs/view/4430607515	jobspy	tier2 | Full‑Stack Web Developer (Part‑Time, Europe Based) @ OHCM
5	https://www.linkedin.com/jobs/view/4432621300	jobspy	tier2 | Java Developer @ IQ Staffing
6	https://www.linkedin.com/jobs/view/4430218991	jobspy	tier2 | Senior Java Software Engineer @ Gazelle Global
7	https://www.linkedin.com/jobs/view/4433031803	jobspy	tier2 | Junior Full-Stack Engineer (AI Code Evaluation) @ Jobgether
8	https://www.linkedin.com/jobs/view/4424052013	jobspy	tier2 | Java Developer @ Accenture the Netherlands
9	https://www.linkedin.com/jobs/view/4386962361	jobspy	tier2 | Java Software Developer - Craftsmanship @ Thales
10	https://www.linkedin.com/jobs/view/4432444284	jobspy	tier2 | Senior Java Developer @ OverheidZZP
11	https://www.linkedin.com/jobs/view/4431254676	jobspy	tier2 | Senior Java Developer (Microservices | Kafka | Cloud) Job ID- 10804922 @ ITproposal
12	https://www.linkedin.com/jobs/view/4431232511	jobspy	tier2 | Java Developer @ GeekSoft Consulting
13	https://www.linkedin.com/jobs/view/4428925454	jobspy	tier2 | Java Software Engineer @ Corecom Consulting
14	https://www.linkedin.com/jobs/view/4431667144	jobspy	tier2 | Full Stack Developer @ Foreside
15	https://www.linkedin.com/jobs/view/4274638636	jobspy	tier2 | Java Developer @ Astek
16	https://www.linkedin.com/jobs/view/4318347678	jobspy	tier2 | Software Engineer (Java) - Unified Platform @ Adyen
17	https://www.linkedin.com/jobs/view/4415065493	jobspy	tier2 | Java Developer @ Jumbo Supermarkten
18	https://www.linkedin.com/jobs/view/4433221742	jobspy	tier2 | Product Security Engineer II @ Flexport
19	https://www.linkedin.com/jobs/view/4209123866	jobspy	tier2 | Kotlin developer (medior) @ Energie Data Services Nederland (EDSN) B.V.
20	https://www.linkedin.com/jobs/view/4433816268	jobspy	tier2 | Software Engineer Java/Kotlin (M) @ bol
21	https://www.linkedin.com/jobs/view/4433802739	jobspy	tier2 | Software engineer – Data Platform @ bol
22	https://www.linkedin.com/jobs/view/4395878163	jobspy	tier2 | Staff Software Developer (IntelliJ Platform) @ JetBrains
23	https://www.linkedin.com/jobs/view/4401948655	jobspy	tier2 | Software Engineer - Services @ eBay
24	https://www.linkedin.com/jobs/view/4432178592	jobspy	tier2 | Backend Software Engineer @ Frank Energie
25	https://www.linkedin.com/jobs/view/4413596516	jobspy	tier2 | Senior Technical Product Manager (IntelliJ Kotlin Plugin) @ JetBrains
26	https://www.linkedin.com/jobs/view/4432412027	jobspy	tier2 | Android Developer @ DEPT®
27	https://www.linkedin.com/jobs/view/4428953233	jobspy	tier2 | Software Engineer, Payments Platform @ Airwallex
28	https://www.linkedin.com/jobs/view/4397066498	jobspy	tier2 | Senior Software Engineer (AppGlass) @ JetBrains
29	https://www.linkedin.com/jobs/view/4372602599	jobspy	tier2 | Staff Software Developer (Kotlin Libraries) @ JetBrains
30	https://www.linkedin.com/jobs/view/4433600581	jobspy	tier2 | Software Engineer, Payments Platform @ Insify
31	https://www.linkedin.com/jobs/view/4434079259	jobspy	tier2 | Software Development Engineer, Digital Experience @ Tesla
32	https://www.linkedin.com/jobs/view/4434095036	jobspy	tier2 | Web Front-End Software Engineer (For independent contractors) @ Booking.com
33	https://www.linkedin.com/jobs/view/4382879326	jobspy	tier2 | Senior Software Engineer - Identity @ Samba
34	https://www.linkedin.com/jobs/view/4426526510	jobspy	tier2 | Software Developer @ Broadsign
35	https://www.linkedin.com/jobs/view/4432655103	jobspy	tier2 | Software Engineer(Amsterdam) @ Together AI
36	https://www.linkedin.com/jobs/view/4432629435	jobspy	tier2 | Software Engineer | High-Frequency Trading @ Fionics
37	https://www.linkedin.com/jobs/view/4430394411	jobspy	tier2 | Software Engineer @ Doghouse Recruitment
38	https://www.linkedin.com/jobs/view/4429057087	jobspy	tier2 | Member of Technical Staff Intern @ Earthian AI
39	https://www.linkedin.com/jobs/view/4406673050	jobspy	tier2 | Software Engineer - Store @ Picnic Technologies
40	https://www.linkedin.com/jobs/view/4395312140	jobspy	tier2 | Full-Stack Developer @ Hypersolid
41	https://www.linkedin.com/jobs/view/4432606470	jobspy	tier2 | Back End Developer @ Intersolve
42	https://www.linkedin.com/jobs/view/4432557838	jobspy	tier2 | Junior Backend Engineer @ Waving
43	https://www.linkedin.com/jobs/view/4432558067	jobspy	tier2 | Full Stack Developer Intern @ ABN AMRO Bank N.V.
44	https://www.linkedin.com/jobs/view/4432595076	jobspy	tier2 | Senior Backend Engineer (Java / Spring Boot) — Fintech @ Vive
45	https://www.linkedin.com/jobs/view/4429880274	jobspy	tier2 | Sr. Frontend/Fullstack Software Engineer @ eBay
46	https://www.linkedin.com/jobs/view/4432241291	jobspy	tier2 | Stage Backend Developer @ Atabix
47	https://www.linkedin.com/jobs/view/4432202901	jobspy	tier2 | Java Back End Developer @ Infinity Quest
48	https://www.linkedin.com/jobs/view/4423252573	jobspy	tier2 | Full Stack Developer @ Ksyos
49	https://www.linkedin.com/jobs/view/4432295484	jobspy	tier2 | Java Developer - Financial Markets Transaction Reporting @ Levy Professionals
50	https://www.linkedin.com/jobs/view/4430692213	jobspy	tier2 | Javascript developer @ Reposten
51	https://www.linkedin.com/jobs/view/4433843946	jobspy	tier2 | Full stack-ontwikkelaar @ B-SmartTech
52	https://www.linkedin.com/jobs/view/4411569024	jobspy	tier2 | Software Engineer @ DTN
53	https://www.linkedin.com/jobs/view/4432655564	jobspy	tier2 | Full-stack Developer @ Valk Service Center
54	https://www.linkedin.com/jobs/view/4431847528	jobspy	tier2 | Frontend Developer (React) @ Jobgether
55	https://www.linkedin.com/jobs/view/4432566074	jobspy	tier2 | Full-Stack Developer @ The IoT Provider
56	https://www.linkedin.com/jobs/view/4432239404	jobspy	tier2 | Front End Developer @ TAGGRS
57	https://www.linkedin.com/jobs/view/4431250887	jobspy	tier2 | Front-end developer @ SLTN
58	https://www.linkedin.com/jobs/view/4428921758	jobspy	tier2 | Full Stack Engineer @ Tech Rise
59	https://www.linkedin.com/jobs/view/4431667259	jobspy	tier2 | Full Stack Engineer @ LegionellaDossier
60	https://www.linkedin.com/jobs/view/4433648002	jobspy	tier2 | Front-end developer @ New York Blockchain Council
61	https://www.linkedin.com/jobs/view/4431049912	jobspy	tier2 | Front-End Developer @ Primitive Technology Sdn Bhd
62	https://www.linkedin.com/jobs/view/4431044884	jobspy	tier2 | Back-End Developer @ Primitive Technology Sdn Bhd
63	https://www.linkedin.com/jobs/view/4089171471	jobspy	tier2 | Freelancing at DEPT® @ DEPT®
64	https://www.linkedin.com/jobs/view/4432059604	jobspy	tier2 | Software Engineer (AI Training) @ Alignerr
65	https://www.linkedin.com/jobs/view/4432423884	jobspy	tier2 | Applied AI Engineer @ ContinuitySA
66	https://www.linkedin.com/jobs/view/4343691764	jobspy	tier2 | Test & Repair Engineer @ Thales
67	https://www.linkedin.com/jobs/view/4431282198	jobspy	tier2 | TTS Research Intern @ Huawei Nederland
68	https://www.linkedin.com/posts/tarasowski_developers-looking-for-us-visa-sponsorship-activity-7473778839542820864-g4LE	linkedin_posts	tier2 | US Visa Sponsored Jobs with Proven H-1B Approval History @ 
69	https://www.linkedin.com/posts/xfactortalent_netherlandsjobs-visasponsorship-highlyskilledmigrant-activity-7473705847018295296-BYf9	linkedin_posts	tier2 | XFactor Talent's Post - LinkedIn @ 
70	https://www.linkedin.com/posts/pavlo-khyzhniak_visasponsorship-techjobs-itjobs-activity-7470767215211061248-LIMm	linkedin_posts	tier2 | Pavlo Khyzhniak | 85 comments - LinkedIn @ 
71	https://www.linkedin.com/posts/worldactioncareers_%F0%9D%97%A1%F0%9D%97%B2%F0%9D%98%81%F0%9D%97%B5%F0%9D%97%B2%F0%9D%97%BF%F0%9D%97%B9%F0%9D%97%AE%F0%9D%97%BB%F0%9D%97%B1%F0%9D%98%80-%F0%9D%97%98%F0%9D%97%BA%F0%9D%97%AF%F0%9D%97%AE%F0%9D%98%80%F0%9D%98%80%F0%9D%98%86-activity-7474649872344985601-oIlE	linkedin_posts	tier2 | World Action Careers' Post - LinkedIn @ 
72	https://www.linkedin.com/posts/global-sponsor-hub-official_visasponsorship-internationalhiring-globaltalent-activity-7474527443979173888-8JBC	linkedin_posts	tier2 | Visa Sponsorship for Non-Tech Jobs: International Hiring Across ... @ 
73	https://www.linkedin.com/posts/saswati-soumya-2420a0187_hiring-netherlandsjobs-pythondeveloper-activity-7471100171221868544-BAZa	linkedin_posts	tier2 | saswati soumya's Post - LinkedIn @ 
74	https://www.linkedin.com/posts/pavlo-khyzhniak_the-netherlands-is-3-on-my-list-of-activity-7470398042970411008-BtJA	linkedin_posts	tier2 | Pavlo Khyzhniak's Post - LinkedIn @ 
75	https://www.linkedin.com/posts/xpatly-ai_the-netherlands-doesnt-reject-activity-7474680091617226752-7HYJ	linkedin_posts	tier2 | Xpatly AI's Post - LinkedIn @ 
76	https://www.linkedin.com/posts/sgcareers_singapore-hiring-foreigners-in-2026-how-activity-7471252204721463296-63U0	linkedin_posts	tier2 | Singapore Job Market for Foreigners in 2026: Visa Sponsorship and ... @ 
77	https://www.linkedin.com/posts/agbo-emmanuella7_visasponsorship-techjobs-internationaljobs-activity-7470071405422817281-T2bU	linkedin_posts	tier2 | HuntSponsor Visa Sponsorship Job Platform UK Europe Japan @ 
78	https://www.linkedin.com/posts/codersalary_codersalary-aijobs-remotework-activity-7470588145214836737-3hwP	linkedin_posts	tier2 | Netherlands AI Engineer Jobs: Competitive Salaries and Remote ... @ 
79	https://www.linkedin.com/posts/codersalary_codersalary-cybersecurity-techcareers-activity-7473789241400070145-Rooq	linkedin_posts	tier2 | Cybersecurity Analyst Jobs in Netherlands: No Degree Required @ 
80	https://www.linkedin.com/posts/russell-tobin-%26-associates-llc_were-growing-in-the-netherlands-and-activity-7475552749414379520-Zba0	linkedin_posts	tier2 | Russell Tobin's Post - LinkedIn @ 
81	https://www.linkedin.com/posts/oksana-tafani_android-kotlin-jetpackcompose-activity-7472615037816221696-IeJw	linkedin_posts	tier2 | Oksana Tafani - android #kotlin #jetpackcompose #yorteam - LinkedIn @ 
82	https://www.linkedin.com/posts/codersalary_codersalary-industrialautomation-techcareers-activity-7472007492542173184-P7uo	linkedin_posts	tier2 | Industrial Automation Engineer in Netherlands: Visa Reality and ... @ 
83	https://www.linkedin.com/posts/ace-edu-travel-consult_pr-travel-abroad-activity-7470133847276552192-DwvS	linkedin_posts	tier2 | Fastest EU PR Routes: Ireland, Netherlands, Germany - LinkedIn @ 
84	https://www.linkedin.com/posts/rashidnaseem_hiring-hiringalert-jobs-activity-7475234771510616064-_wRT	linkedin_posts	tier2 | Rashid Naseem's Post - LinkedIn @ 
85	https://www.linkedin.com/posts/team-wanted_bored-of-standard-construction-ready-activity-7473694829529567232-I9aj	linkedin_posts	tier2 | WANTED's Post - LinkedIn @ 
86	https://www.linkedin.com/posts/conet_%F0%9D%90%87%F0%9D%90%A8%F0%9D%90%B0-%F0%9D%90%A6%F0%9D%90%AE%F0%9D%90%9C%F0%9D%90%A1-%F0%9D%90%9D%F0%9D%90%A8%F0%9D%90%9E%F0%9D%90%AC-%F0%9D%90%A2%F0%9D%90%A7%F0%9D%90%9D%F0%9D%90%AE%F0%9D%90%AC%F0%9D%90%AD%F0%9D%90%AB%F0%9D%90%A2%F0%9D%90%9A%F0%9D%90%A5-activity-7470869175285211136-eiG1	linkedin_posts	tier2 | How much does industrial automation… | CoNet - LinkedIn @ 
87	https://www.linkedin.com/posts/maria-boniou_4-years-of-international-healthcare-recruitment-activity-7475080655069028354-Y6i7	linkedin_posts	tier2 | Maria Boniou's Post - LinkedIn @ 
88	https://www.linkedin.com/posts/gulf-jobs-career-opportunities_dear-all-my-connectionsapplyhttpsbitly-activity-7471569251305455616-f1Lo	linkedin_posts	tier2 | GULF JOBS & CAREER OPPORTUNITIES' Post - LinkedIn @ 
89	https://www.linkedin.com/posts/we-are-hiring-job-searching_saipem-offshore-vacancy-urgent-hiring-rotation-activity-7476241223440326658-ZRX2	linkedin_posts	tier2 | SAIPEM OFFSHORE VACANCY – URGENT HIRING ROTATION: 28 ... @ 
90	https://www.linkedin.com/posts/ksa-uae-jobs_we-are-hiring-qatar-exciting-opportunities-activity-7473778999190745088-rBiE	linkedin_posts	tier2 | WE ARE HIRING | Free Food & Accommodation… | KSA & UAE JOBS @ 
91	https://devitjobs.nl/en/jobs/Microsoft-Dynamics-365-CRM/remote	niche_boards	tier2 | remote Microsoft Dynamics Developer jobs in the Netherlands @ 
92	https://devitjobs.nl/en/jobs/Certe-Groep-Systeembeheerder	niche_boards	tier2 | Certe Groep - Systeembeheerder Job in Coevorden - DevITjobs.nl @  | €35.000–€65.000
93	https://indsponsors.nl/blog/highly-skilled-migrant-permit-netherlands	niche_boards	tier2 | Highly Skilled Migrant Visa Netherlands 2026: Requirements & Salary @ 
94	https://indsponsors.nl/events/100-june-integration-track-by-make-it-in-the-north-registration-closed	niche_boards	tier2 | June Integration Track by Make it in the North (Registration Closed) @ 
95	https://indsponsors.nl/events/19-four-day-career-workshop-september	niche_boards	tier2 | Four-Day Career Workshop — September - IND Sponsors @ 
96	https://indsponsors.nl/companies/groningen	niche_boards	tier2 | Visa Sponsor Companies in Groningen | IND-Authorised Employers @ 
97	https://indsponsors.nl/directory?research=true	niche_boards	tier2 | Company Directory - IND Sponsors @ 
98	https://startup.jobs/business-development-representative-netherlands-safeguard-global-geo-costa-r-8530738	niche_boards	tier2 | Business Development Representative - Netherlands - Startup Jobs @ 
99	https://startup.jobs/junior-international-hr-consultant-netherlands-belgium-parakar-8413697	niche_boards	tier2 | Junior International HR Consultant Netherlands & Belgium at Parakar @ 
100	https://startup.jobs/director-of-business-development-financial-services-eu-netherlands-atomic-invest-8140466	niche_boards	tier2 | Director of Business Development Financial Services (EU) @ 
101	https://startup.jobs/customer-experience-lab-technician-netherlands-dandy-3-8029770	niche_boards	tier2 | Customer Experience Lab Technician (Netherlands) at Dandy @ 
102	https://startup.jobs/sales-associate-wwrd-netherlands-midco-bv-8516540	niche_boards	tier2 | Sales Associate at WWRD Netherlands MidCo B.V. - Startup Jobs @ 
103	https://startup.jobs/company/smartphonehoesjesnl	niche_boards	tier2 | Smartphonehoesjes.nl Jobs (June 2026) @ 
104	https://startup.jobs/company/the-entourage-group	niche_boards	tier2 | THE ENTOURAGE GROUP Jobs (June 2026) @ 
105	https://startup.jobs/company/trimit-nl-company	niche_boards	tier2 | TRIMIT NL Jobs (June 2026) - Startup Jobs @ 
106	https://startup.jobs/nike-assistant-store-manager-retailors-netherlands-bv-8153061	niche_boards	tier2 | Nike - Assistant Store Manager at Retailors Netherlands B.V. @ 
107	https://startup.jobs/area-manager-benelux-germany-wwrd-netherlands-midco-bv-8516531	niche_boards	tier2 | Area Manager (Benelux & Germany) - Startup Jobs @ 
108	https://hnhiring.com/technologies/kotlin	niche_boards	tier2 | Kotlin jobs from Hacker News 'Who is hiring? (June 2026)' post @ 
109	https://hnhiring.com/technologies/android	niche_boards	tier2 | Android jobs from Hacker News 'Who is hiring? (June 2026)' post @ 
110	https://hnhiring.com/locations/dublin	niche_boards	tier2 | Dublin Jobs - June 2026 - HNHIRING @ 
111	https://hnhiring.com/technologies/svelte	niche_boards	tier2 | Svelte jobs from Hacker News 'Who is hiring? (June 2026)' post @ 
112	https://hnhiring.com/locations/denver	niche_boards	tier2 | Denver Jobs - June 2026 - HNHIRING @ 
113	https://hnhiring.com/technologies/dart	niche_boards	tier2 | Dart Jobs - June 2026 - HNHIRING @ 
114	https://hnhiring.com/technologies/scala	niche_boards	tier2 | Scala jobs from Hacker News 'Who is hiring? (June 2026)' post @ 
115	https://hnhiring.com/locations/austin	niche_boards	tier2 | Austin jobs from Hacker News 'Who is hiring? (June 2026)' post @ 
116	https://hnhiring.com/technologies/react	niche_boards	tier2 | React Jobs - June 2026 - HNHIRING @ 
117	https://hnhiring.com/june-2026	niche_boards	tier2 | jobs from Hacker News 'Who is hiring? (June 2026)' post | HNHIRING @ 
118	https://magnet.me/en/opportunity/1046666/product-owner-service-management	niche_boards	tier2 | Product Owner Service Management in Rotterdam at Robeco @ 
119	https://magnet.me/en/opportunity/1053018/head-of-it-senior-it-business-partner	niche_boards	tier2 | Head of IT/Senior IT Business Partner - Magnet.me @ 
120	https://magnet.me/nl-NL/vacature/1046543/solutions-architect	niche_boards	tier2 | Solutions Architect in Hilversum bij NEP The Netherlands - Magnet.me @ 
121	https://vacaturebank.ai/jobs/director-engineering-ai-and-data-consumer-amsterdam-6a23e0c5170839c4b2e5d660	niche_boards	tier2 | Director Engineering, AI & Data - Consumer bij Deloitte Netherlands @ 
122	https://vacaturebank.ai/jobs/full-stack-ai-engineer-6a2d1b580ccb294d45534bf0	niche_boards	tier2 | Full Stack AI Engineer bij Jobgether | Vacaturebank.ai @ 
